well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
1174,12-10-2023,05-11-2023,184,306,230,343,25
1174,06-11-2023,03-12-2023,306,114,99,136,28
1174,04-12-2023,14-12-2023,114,95,92,100,11
1174,15-12-2023,29-12-2023,95,49,45,52,15
1174,30-12-2023,24-01-2024,49,95,84,99,26
1174,25-01-2024,03-02-2024,95,183,165,208,10
1174,04-02-2024,22-02-2024,183,365,314,392,19
1174,23-02-2024,16-04-2024,365,205,196,228,54
1174,17-04-2024,17-08-2024,205,210,0,0,123
1174,18-08-2024,26-10-2024,210,210,210,210,70
1174,27-10-2024,24-03-2025,210,200,0,0,149
1174,25-03-2025,01-05-2025,200,200,200,200,38
1218,21-07-2023,04-08-2023,0,299,270,331,15
1218,05-08-2023,22-08-2023,299,478,0,0,18
1218,23-08-2023,09-09-2023,478,479,400,525,18
1218,10-09-2023,27-09-2023,479,615,593,641,18
1218,28-09-2023,05-11-2023,615,59,50,64,39
1218,06-11-2023,29-12-2023,59,254,226,302,54
1218,30-12-2023,19-01-2024,254,221,197,237,21
1218,20-01-2024,29-01-2024,221,177,174,180,10
1218,30-01-2024,19-08-2024,177,399,0,0,203
1218,20-08-2024,27-09-2024,399,365,317,467,39
1218,28-09-2024,18-10-2024,365,269,234,306,21
1218,19-10-2024,11-11-2024,269,211,181,240,24
1218,12-11-2024,08-12-2024,211,146,128,173,27
1218,09-12-2024,02-01-2025,146,109,96,121,25
1218,03-01-2025,22-02-2025,109,71,63,76,51
1218,23-02-2025,25-03-2025,71,220,0,0,31
1218,26-03-2025,04-04-2025,220,221,220,226,10
1218,05-04-2025,01-05-2025,221,66,66,66,27
1220,04-08-2023,14-08-2023,171,45,42,51,11
1220,15-08-2023,10-01-2024,45,170,157,173,149
1220,11-01-2024,19-01-2024,170,69,67,72,9
1220,20-01-2024,05-02-2024,69,380,380,380,17
1220,06-02-2024,07-04-2024,380,262,231,300,62
1220,08-04-2024,21-04-2024,262,389,384,394,14
1220,22-04-2024,30-06-2024,389,94,92,96,70
1220,01-07-2024,18-08-2024,94,305,0,0,49
1220,19-08-2024,13-01-2025,305,326,320,333,148
1220,14-01-2025,30-01-2025,326,105,103,106,17
1220,31-01-2025,04-04-2025,105,256,250,264,64
1220,05-04-2025,12-04-2025,256,83,83,83,8
1220,13-04-2025,01-05-2025,83,0,0,0,19
1123,24-10-2023,13-11-2023,78,64,61,66,21
1123,14-11-2023,10-12-2023,64,76,73,78,27
1123,11-12-2023,02-04-2024,76,40,38,42,114
1123,03-04-2024,28-03-2025,40,37,33,39,360
1123,29-03-2025,01-05-2025,37,0,0,0,34
1176,07-06-2023,12-06-2023,122,325,287,336,6
1176,13-06-2023,26-06-2023,325,230,198,287,14
1176,27-06-2023,19-07-2023,230,183,174,195,23
1176,20-07-2023,01-08-2023,183,120,120,120,13
1176,02-08-2023,12-08-2023,120,43,41,47,11
1176,13-08-2023,19-09-2023,43,35,31,36,38
1176,20-09-2023,02-10-2023,35,214,188,240,13
1176,03-10-2023,14-10-2023,214,174,170,181,12
1176,15-10-2023,25-10-2023,174,138,128,151,11
